profile,item,rating
4,0,1
4,3,1
4,6,1
4,4,2
4,2,2
3,4,3
3,6,1
3,2,3
1,6,1
2,1,3
2,2,4
2,4,3
2,5,2
2,6,1
2,7,2
0,4,2
0,6,1
0,2,2
5,4,1
5,2,1
140,11,3
140,4,2
140,2,2
586,4,4
586,6,3
586,2,4
126,4,2
126,6,1
126,2,2
258,9,1
258,4,2
258,1,2
258,5,1
258,2,2
577,11,2
577,4,3
577,1,2
577,6,2
577,2,3
247,4,3
247,6,2
247,2,3
337,1,3
337,2,3
337,9,2
337,4,3
337,10,1
337,5,3
337,11,4
337,6,1
337,8,3
432,6,1
432,4,1
432,1,1
432,2,2
195,0,1
195,4,2
195,6,1
195,2,2
579,11,2
579,4,3
579,6,2
579,8,3
579,2,3
492,11,2
492,4,1
492,2,1
311,4,3
311,6,3
311,2,3
379,4,2
379,2,2
461,4,3
461,6,2
461,2,3
482,11,3
482,4,3
482,2,3
6,4,2
6,6,1
6,2,3
8,11,2
8,4,2
8,6,2
8,2,2
147,11,2
147,4,3
147,2,3
91,4,3
91,2,3
233,4,1
233,2,1
389,11,2
389,4,3
389,6,1
389,2,3
150,11,2
150,4,3
150,6,2
150,2,3
522,11,3
522,4,4
522,2,4
106,0,1
106,1,2
106,2,3
106,4,2
106,5,2
106,11,1
569,4,1
569,2,1
172,4,2
172,6,3
172,2,2
621,11,4
621,4,3
621,8,3
621,2,3
393,4,3
393,2,4
587,2,3
587,4,3
587,10,2
587,11,3
587,6,1
587,7,1
477,11,2
477,4,3
477,6,2
477,8,3
477,2,3
464,11,1
464,2,1
221,11,1
221,4,3
221,2,3
523,1,1
523,2,1
626,11,1
626,4,3
626,1,1
626,6,3
626,2,4
453,4,3
453,1,2
453,5,2
453,2,3
421,1,2
421,2,3
421,3,2
421,4,2
421,10,3
421,7,3
341,4,2
341,6,2
341,2,2
17,1,3
17,2,2
17,4,2
17,5,2
17,11,3
17,6,1
17,8,2
378,6,3
378,4,2
378,1,1
378,2,2
257,1,1
257,2,2
257,4,2
257,11,2
257,6,1
257,8,2
291,11,1
291,4,3
291,6,2
291,8,2
291,2,3
103,11,1
103,4,2
103,1,1
103,2,2
329,0,3
329,2,3
329,3,3
329,4,3
329,11,3
329,8,3
267,6,1
267,4,3
267,1,1
267,2,3
383,4,3
383,6,3
383,2,2
270,11,2
270,8,2
270,4,3
270,5,1
270,2,3
80,11,1
80,4,1
80,2,1
139,11,1
139,4,1
139,2,2
164,11,2
164,4,2
164,2,2
564,0,2
564,4,2
564,6,1
564,2,2
175,11,1
175,4,1
175,2,1
540,11,1
540,4,1
540,6,2
540,2,1
122,2,3
122,4,2
122,10,1
122,8,2
122,11,1
122,7,1
255,6,2
255,4,3
255,1,2
255,2,3
15,1,2
15,2,3
15,4,3
15,5,2
15,6,2
15,7,2
531,11,1
531,4,2
531,6,1
531,2,2
573,6,1
573,4,2
573,10,1
573,2,2
129,4,3
129,2,3
248,9,1
248,11,1
248,4,3
248,6,1
248,2,2
289,4,2
289,6,2
289,2,2
550,11,2
550,4,3
550,8,3
550,2,3
277,4,2
277,6,3
277,2,2
385,4,2
385,2,2
385,7,1
7,11,2
7,4,2
7,6,2
7,2,2
203,4,3
203,10,1
203,2,3
408,11,1
408,4,1
408,2,1
63,6,1
63,4,1
63,10,1
63,2,1
196,4,3
196,3,3
196,10,3
196,5,2
196,2,3
194,4,2
194,2,2
396,11,2
396,4,3
396,10,1
396,8,2
396,2,3
356,11,2
356,4,3
356,2,3
585,2,2
585,3,2
585,4,2
585,10,3
585,6,1
585,7,2
295,11,2
295,4,2
295,6,2
295,2,3
435,4,2
435,6,1
435,2,2
45,4,3
45,2,3
584,0,2
584,1,3
584,2,4
584,4,3
584,10,2
584,5,3
584,11,2
584,8,2
265,6,1
265,2,1
135,6,2
135,4,2
135,1,1
135,2,2
451,6,2
451,4,3
451,1,2
451,2,3
598,11,2
598,4,2
598,2,2
34,11,2
34,4,3
34,8,2
34,2,3
232,4,3
232,6,1
232,2,2
302,4,3
302,6,3
302,2,3
185,11,3
185,4,2
185,1,2
185,5,2
185,2,2
454,4,2
454,6,2
454,2,3
591,4,2
591,6,3
591,2,2
484,4,2
484,6,2
484,2,2
272,11,2
272,4,2
272,6,1
272,2,2
402,4,3
402,6,3
402,2,3
468,2,3
468,9,1
