id,basics,education,skills,work
0,"Think outside the box?  Of course!  I was the kid who broke apart my Rubik’s cube and reassembled it, so that I could get all the colors lined up.  Had to solve it ... didn&#39;t I?  I need answers and solutions and so do you.

My job choices are positions that are about problem solving:  
* Apprentice Electrician - Why does the garage door open, when I hit the porch light?
* Inventory control - What do you mean the left handed monkey wrench isn&#39;t on the shelf?
* I.T. - What did your password used to be?","study: Diploma&#44; Electrician Program, institution: Everest Institute-South Plainfield ; study: Associate of Applied Science&#44; Computer Information Systems, institution: Kaplan University-Online",Maintenance &amp; Repair ; Electronics ; Receiving ; Inventory Control ; Tube Bending ; Woodworking ; National Electrical Code ; Computer Hardware ; SAP ; Panel Wiring ; Windows ; Customer Service ; Microsoft Excel ; Ubuntu ; Shipping ; Circuit Breakers ; Single Line Diagrams ; Logistics ; Critical Thinking ; Microsoft Office ; Testing ; Electricians ; Electrical Controls ; Troubleshooting ; Process Improvement,"work: Thales Avionics&#44; 140 Centenninal Ave. Piscataway, NJ 08854-3908, position: Logistics Administrator, desc: * Inventory Control - Maintain up to date stock accuracy/receiving/put-away. 
* Perform cycle counting.  
* Issue and receipts of part supplies and equipment to shop floor and distribution to customer. 
* Maintain shelf life items and hazmat stock in accordance to regulations/procedures. 
* Ensures that required documentation is physically/electronically filed and accessible.

Projects: Configured &amp; wrote the training guides for the REMSTAR/Programmed departmental MACRO keyboards/Worked with Project Management team to create a new inventory control system. ; work: Thales Avionics&#44; 140 Centenninal Ave. Piscataway, NJ 08854-3908, position: Inventory Coordinator, desc: * Inventory Control - Create, review, and manage cycle counts and all inventory adjustments.
* Work with Finance to finalize Cycle Count discrepancies/reconciliation.
* Research/resolve inventory issues through SAP data reporting and analysis. 
* Manage returns and vendor OS&amp;D’s. 
* Created a system for and manage requisitions of all non-stock inventory to maintain demand levels. 
* Insure proper procedures for receiving and shipping are being followed for hazmat/non-hazmat material.
* Manage customs paperwork flow and accuracy in accordance to customs compliance regulations. 
* Train new hires. ; work: SAIC (Science Application International Corporation) at Telcordia&#44; Piscataway, NJ, position: Systems Administrator, desc: • IMAC support (Installs/Moves/Adds/Changes) of IBM (UNIX (AIX)) machines.
• Maintained Network Backups
• Responded to telephone calls, email and personal requests for technical support."
1,"Thank you for visiting my profile.
I am an adequately qualified and well-skilled accounting/audit professional with 1 year working experience handling all areas of financial accounting and audit of SMEs; A good academic record combined with relevant professional qualification; Well versed on IAS and IFRS framework; Motivated individual with demonstrable problem solving skills; Strong desire to increase my knowledge and build on my professional experience while equipping myself with practical skills to ensure an organization’s growth.
I am looking forward to networking with professional accountants, internal auditors, external auditors, fraud investigators, CFOs, and SME owners and managers.","study: Kenya Certificate of Secondary Education; , institution: Mururia Secondary School ; study: Bachelor of Economics&#44; Economics, institution: University of Nairobi ; study: CPA (K) Part III (Section 6) Graduate&#44; Accounting and Finance, institution: ROYAL BUSINESS SCHOOL",Financial Accounting ; Data Analysis ; Microsoft PowerPoint ; Microsoft Office ; Book keeping ; Achievement oriented ; Research ; Tally ERP ; Financial Analysis ; Corporate Tax Planning ; Customer Service ; Microsoft Word ; Auditing ; Financial Reporting ; Microsoft Excel ; Data Entry,"work: Valuemax Consulting&#44; Nairobi, position: Consultant, desc: 1.) Business Development;- Identifying prospective clients that fit in the Company&#39;s target market and informing them about the Company services with the aim of having them contract with the Company. ; work: Valuemax Consulting&#44; Nairobi, Kenya, position: Associate Consultant, desc: 1. Accurate posting of transactions in QuickBooks, 
2. Bank Reconciliation,
3. Payroll management for clients; - preparation of the payroll and making necessary deductions and        requesting disbursements, 
4. Filing and remittance of statutory returns,
5. Loan feasibility assessment by forecasting cash flow projections and developing a business plan
6. Maintaining financial security by following internal controls,
8. Researching and interpreting accounting policy and regulations and ensuring compliance,
9. Preparing special financial reports by analyzing and summarizing accounting information,
10. Training client accounting staff and our staff on best practices on team management, QuickBooks application and Ms Excel
 ; work: Uchumi Co - operative Savings and Credit Society Limited&#44; Nairobi, position: Accounts Intern, desc: - Updating members&#39; records
-Following up deduction schedules for loans allocated
- Reconciling member statements
- Communicating to members on the status of their accounts
- Loans disbursement
- Book keeping (posting monthly expenses)
- Preparation of Insurance premiums
- Preparation of claims for rebates
"
2,,"study: , institution: Workday HCM Fundamentals ; study: Security Managemnt, institution: O&#39;CHIKARA SECURITY ACADEMY ; study: French Language - Upper-intermediate, institution: Leeds Beckett University ; study: CIMA&#44; Accounting, institution: BPP Law School",Cross-functional Team Leadership ; Management ; Performance Management ; Team Leadership ; Outsourcing ; Strategy ; Workday ; Business Intelligence ; Procure-to-Pay ; Teamwork ; Business Process Improvement ; Sourcing &amp; Procurement ; Project implementation ; French ; Norwegian ; Leadership ; System Deployment ; Agile &amp; Waterfall Methodologies ; Training ; Requirements Analysis ; Employee Relations ; Budget Preparation ; conversational Arabic ; Operations Management ; Accounts Payable ; Process Improvement ; Budgets ; Accounting ; Oracle ; Project Management ; Software Development ; German ; Data conversion ; Requirements Gathering ; Polish ; Business Analysis,"work: GE Capital, position: EMEA Transaction Support/Administration Assistant - Real Estate EMEA, desc: • Data/document/transaction management across EMEA properties from requirement phase, acquisition, leasehold restructuring to property disposal
• B2P management of one cost centre/across multiple commodities, accruals vs. budget analysis and reporting
• Admin support to Regional and Portfolio Managers across the region ; work: Sky Betting &amp; Gaming, position: Financial Systems, desc: • SkyBet migration from JDE to Workday (cloud) - Financial Management, Procurement and Expenses analysis, configuration, testing, implementation to BAU
• Planing, advising the business on improvement and streamlining opportunities of business process frameworks, strategy development
• Database management, development of business-event driven reports, security analysis and configuration, super user training
 ; work: GE Capital, position: EMEA Finance Coordinator/PA to EMEA Properties Manager, desc: • B2P management of multiple cost centres/across multiple commodities, accruals vs. budget analysis and reporting
• Expenses, national/international travel, invitations and visas, car park and pickups, contracts and Power of Attorney document managment, diary management
• Ad hoc support to COE and EMEA region team members/Finance team
• Recruitment support ; work: GE Capital International, position: Project Analyst/Support Accountant, desc: • Oracle 11i to R12 migration of Global Banking businesses (GL, AP, AR, FA)
• Automated GL tax model implementation
• Reconciliation tool business migration ; work: DHL Supply Chain, position: OneR12 APAC &amp; GC, desc:  ; work: GE Capital&#44; London/Leeds, United Kingdom, position: UK Facilities Finance 	Coordinator, desc: • AP (SSS B2P) order/purchase/payment process improvement across UK Corporate facilities
• Management of procurement for goods and services (SSS/B2P) supporting the operation of 14 facilities across the District (multiple cost centres/commodities), accruals vs. budget reporting
• Oversight of procurement/cost analysis and reporting of 3 major European projects
• Group super user and point of contact for AP system and processes training"
3,"- HCM &amp; HCM Cloud Solutions Consultant in Oracle Asia Pacific
- HR Solution Consultant with 10 years of experience in SAP Korea                                 
   (Main Role: Pre-sales/Consulting for SAP Human Capital Mgmt &amp; Learning Solution)
- HR Consultant with 2 years of experience in Korea Leadership Center (Franklin Covey Korea)
- Comprehensive Knowledge &amp; Passion of Human Resource Management 
- Large Experiences about HR Processes &amp; Systems as Enabler of HR Strategy
- Industry Experiences : Higher Education &amp; Research, Public Sector, Manufacturing, Telecom, and   Financial industries
- Fluent Consulting Competence : Presentation, Proposal &amp; Project Mgmt Skill, etc.
- Team Player with Leadership, Excellent Communication Skill, Strong Customer Focus   
- HR Business Development Performance with 90% win-ratio in SAP Korea","study: BA&#44; Business Administration, institution: University of Seoul ; study: MBA&#44; Organizational Behavior and Human Resource Management, institution: Sogang University",Management ; ERP ; Performance Management ; Human Resources ; Recruiting ; Oracle Taleo Cloud Service ; HRIS ; Enterprise Software ; SAP ERP ; HR Consulting ; SAP HR ; Solution Architecture ; SaaS ; Leadership ; SAP ; Oracle Fusion HCM ; Business Process ; Talent Management ; Oracle ; Business Development ; Pre-sales ; Project Management ; Consulting ; Oracle HR ; Cloud Computing ; Product Management ; Professional Services ; Personnel Management,"work: Korea Leadership Center&#44; Korea, position: HR Consultant, desc: - Developed knowledge and skills about Covey&#39;s Leadership Program ; 7Habits of Highly Effective People(Self Leadership), What Matters Most(Personnel Performance Improvement), Helping Client Succeed(Presales Skill)
- Performed training, consulting for corporate training course and presales activities for clients such as MSD Korea, LG Group, Kolon Group, etc.



[RECOGNITIONS]

• Oracle Taleo Cloud Service Professional Certificate, Oracle University, APAC, 2013 
• SAP ERP HCM Professional Certificate, SAP University, Seoul, 2009
• Oracle PeopleSoft HCM Professional Certificate, Oracle University, Vancouver, 2006
• Published「Enterprise Solutions」(HR Part), Uhram Publisher, Seoul, 2005
• SAP HR Professional Certificate, SAP University, Seoul, 2000


[PROFESSIONAL SKILLS]
 
• Native in Korean, Competent  in English
• SAP System Implementation with SAP HR Professional Certificate (SAP AG)
• Oracle Taleo Cloud Service Configuration with Oracle Taleo Professional Certificate (Oracle APAC) ; work: Freelance, position: Sr. HCM Solution Consultant, desc:  ; work: Oracle Asia Pacific&#44; Seoul, position: Principal Sales Consultant, desc: - Responsible for Oracle HCM &amp; HCM Cloud Solutions for Korea Cloud HCM Business
- Business Development, Marketing, Presales, Sales Consulting, and Solutions Consulting on Oracle Taleo Cloud Service(Recruiting, Onboarding, Social Sourcing, Learn, Goal Mgmt, Performance Mgmt, Succession Planning, Analytics) and Fusion HCM(Human Capital Management) ; work: SAP Korea, position: HR Solution Consultant, desc: - Developed SAP product knowledge and acquired SAP HR Professional Certificate
- Implemented professional services for customer&#39;s HR process innovation with SAP HR solution
- Performed HR information strategy planning project ; HR functions and processes analysis, HR strategy and architecture design for LG Telecom, Dongwon F&amp;B, etc.
- Participated in SAP HR implementation projects; implemented new HR system with talent management, career development planning and training management functions for Dongwon F&amp;B, Daewoong Pharmacy, etc. ; work: SAP Korea, position: Sr. HR Solution Architect, desc: - Responsible for HR solution business as solution owner and presales manager
- Performed product presentation (customer presentation, demo system build), proposal and processing of call for bids  with 90% win-ratio in SAP Korea  
- Conducted business development and market development activities with Sales &amp; Marketing teams
- Supported business development in product management related activities including localization 
- Led solution presales and project cycle to ensure smooth transition from presales to implementation stages as HR solution owner 
- Launched new solutions such as SAP Recruiting, Visualization by Nakisa and Enterprise Learning solution with  training and presales activities
- Build and maintained partnerships with 150 HR customers and partners in Korea
- Instructed in solution training courses of SAP University
- Participated marketing events as presenter ; work: Freelance, position: Sr. HR Solution Consultant, desc: - Performed a SAP project for implementation HR Employee Self-Service System of Kia Motor America(KMA)
- Implemented Competency Model, Performance Appraisal, Competency Assessment and Hiring Interview Processes based on Hyundai Global HR Standard and collaborated with project team including KMA HR team members"
4,"Key Skills:
1. Implementation of Information Security as a business and innovation enabler
2. Implementation and maintenance of Information Security Management System (ISMS) aligned to ISO  27001
3. Development  and implementation of  multi level  Information Security Awareness Programs. 
4. Development of Information Security Policies, Standards and Guidelines
5. Penetration testing and vulnerability assessments
6.IT Project management
7.Design and deployment of technical and process based information security controls
9. Development of business context specific information security metrics and reporting dashboards.
9.ITIL implementation and training","study: Executive MBA&#44; Business Administration, institution: Strathmore Business School ; study: , institution: ISACA ; study: , institution: Strathmore ICT ; study: , institution: Growth Africa ; study: 2nd Class Honours - Upper Division&#44; BSc. Computer Science, institution: University of Nairobi ; study: , institution: Bishop gatimu Ngandu Girls High School",Management ; Network Security ; Governance ; IT Service Management ; Networking ; Data Center ; Information Security Management ; IT Strategy ; Risk Assessment ; ISMS ; Marketing ; CISSP ; CEH ; CISM ; Network Administration ; Leadership ; Information Security ; CISA ; Business Continuity ; Network Design ; Business Analysis ; ISO 27001 ; System Administration ; Security ; Information Technology ; ITIL ; Risk Management ; CCNA ; Incident Management ; Cisco Technologies ; Telecommunications ; Operating Systems,"work: Access Kenya&#44; Nairobi, position: Information Security Administrator, desc: Information Security solutions implementation  projects management ; work: UNDP, position: Intern, desc: Data cleanup in preparation for transition to a new system. ; work: Lords Healthcare, position: IT Rep, desc: ICT training
Implementing technology solutions to address marketing department  needs.
Management of CCTV ; work: Francis Drummond &amp; Company Investment Brokers, position: Systems Administrator, desc: Network, systems and website administration ; work: World Vision&#44; Nairobi Kenya, position: Senior IT Risk Advisor  - Global ICT, desc: Project lead in the implementation of a global virtual Security Operations Center. ; work: Central Bank of Kenya&#44; Nairobi, position: Senior Information Security Officer, desc:  ; work: Safaricom Limited&#44; Nairobi, position: Principal Information Security Officer, desc: Information Security Processes implementation. ; work: Independent Consultant&#44; Nairobi, position: Information Risk  &amp; IT Service Management Consultant &amp;Trainer, desc: IT Risk management  consulting and training
IT Service management  consulting and training ; work: Safaricom Ltd, position: Senior  Corporate Information Security Officer, desc: Information Security Risk Management ; work: Institute of Advanced Techology, position: End User Courses Instructor, desc: End user courses instructor"
5,,"study: Bachelors&#44; Information Technology, institution: University of Asia and the Pacific",Management ; Networking ; Team Leadership ; Storage ; Outsourcing ; Business Intelligence ; Enterprise Software ; ERP ; Team Management ; Security ; CRM ; Solution Architecture ; IT Strategy ; Cisco Technologies ; SaaS ; Data Center ; Information Technology ; IT Operations ; Business Analysis ; Integration ; Business Process ; Disaster Recovery ; System Administration ; Managed Services ; Firewalls ; Service Delivery ; Pre-sales ; Project Management ; Solution Selling ; IT Outsourcing ; ITIL ; Partner Management ; Channel Partners ; Cloud Computing ; IT Service Management ; Servers ; Vendor Management ; Virtualization ; IT Management ; Telecommunications,"work: Futureworld (Talent Company Ltd)&#44; HCMC, Vietnam, position: DGM - Corporate Sales, desc: Futureworld is an Apple Premium Reseller (APR) in Vietnam which currently has 15 stores nationwide.  The Corporate Sales Division is tasked with working with Enterprise customers on integrating Apple products &amp; iOS in their organization. ; work: MagiNet Corporation, position: Internet Marketing Specialist, desc:  ; work: Thakral One, position: Business Development Manager - Business Intelligence &amp; Analytics, desc:  ; work: IBM Philippines, Inc., position: IT Specialist, desc:  ; work: Astral Infotech VN Ltd, position: Business Manager, desc: "
6,,"study: Bachelor’s Degree&#44; International Business Management, institution: Foreign Trade University, Vietnam ; study: Master of Business Administration (M.B.A.)&#44; Excutive MBA, institution: Asia Institute of Technology, Thailand ; study: High School, institution: Lam Son High School - Thanh Hoa",Negotiation ; Management ; Customer Service ; Key Account Management ; Strategic Planning ; Sales Management ; New Business Development ; Marketing Strategy ; Marketing ; Account Management,"work: FPT Trading&#44; Vietnam, position: F9 Country Sales Director, desc: Building up and organizing the implementation of sales and customer development plans,
Cooperating with Nokia in developing, organizing and managing sales programs,
Participating in building BSC - F9 system for Vietnam,
Developing F9 - Online system to improve the management, preparing for the next development phase of F9. ; work: FPT Trading, position: F9HN/2 Sales Deputy Manager, desc: Planning and coordinating sales, developing sales channels in Hanoi. 
Cooperating with Nokia for its branding strategy in Northern Vietnam. ; work: FPT Trading Company Limited&#44; Hanoi, position: Sales Staff - F9, desc: Sales staff to develop Nokia dealer network in North Vietnam market ; work: FPT Trading, position: Country Sales Director, desc: Setting up the foundation for Myanmar market, developing the partnership with Mobitel.
Coordinating business operations and developing the system for Mobitel in Myanmar,
 ; work: FPT Myanmar&#44; Myanmar, position: Chief Operating Officer, desc: Overseeing ongoing business operations in FPT Myanmar,
Holder of Developing trading and retail business strategic partners in Myanmar.
Maintaining and developing Mobitel&#39;s businesses. ; work: FPT Trading, position: F9HN/3 Sales Manager, desc: "
7,,"study: Bachelor of Arts (B.A.)&#44; Business English, institution: Hochiminh city University of Education ; study: Marketing, institution: University of Economics Ho Chi Minh City",Management ; Human Resources ; Administration ; Research ; Teamwork ; Teaching ; CRM ; Event Management ; Invoicing ; Marketing ; Translation ; Editing ; Microsoft Office ; JavaScript ; Customer Service ; Graphic Design ; English ; Social Networking ; Project Management ; Negotiation ; Communication ; Sales ; PowerPoint,"work: Dentsu Media, position: Communication Design - Walt Disney project, desc:  Media planning and execution: OOH, events, digital, KOL, POSM, KV 
 Collaboration with production house, business partners, designers 
 Documentation: proposal, contract, quotation  ; work: HRBoss Vietnam, position: Marketing Executive, desc:  Marketing content: website, product datasheets, whitepaper, ebooks 
 Production of marketing materials: banners, T-shirts, booklets, name cards 
 Management of marketing database via Salesforce  
 Collaboration with development team on product release campaigns 
 B2B events, internal events 
 Digital marketing: email campaign, web page and social media 
 Competitor research
 

HR &amp; Administration Assistant
                                                                                                          
 Group HR - Singapore, Japan, China, Vietnam
- Manage recruiting system
- Manage global contact list, leave records
- Take care of on/ off boarding procedures
 
 HR &amp; Administration - Vietnam
- Manage staff attendance and weekly report
- Manage office assets and expenses
- Organize company trips, staff outings, internal parties 
 
 Information Technology
- Product support: import and edit data, run demo/ internal sites
- IT equipment: keep stock of laptops, phones, electrical wire
- IT contact point: liaise between responsible parties 

 ; work: Cao Dong Design, Ltd, position: Sales and Marketing Executive, desc: Sales: help clients understand more about our products and services, prepare quotations, handle orders, keep in contact with current clients and search for new clients and customers

Marketing: translate documents and contracts, edit and translate product descriptions ; work: ILA Vietnam, position: Teaching Assistant, desc:  Education: teach English, create daily reminders, test revision 
 Class management: assist foreign teachers, manage class folders 
 Sales: communicate with parents, make monthly and telesales calls
  ; work: Atlas Industries (Global), position: Marketing Coordinator, desc:  ; work: PYCO Group&#44; Vietnam, position: Senior Communications Executive, desc: "
8,"I am a reliable, hardworking, attentive individual when given the opportunities and resources to improve and grow successfully. I love to read and improving on my skills. Everyday is a new learning experience and I would love for you to watch me grow.

","study: Bs&#44; Proffessional Health Sciences, institution: The University of South Alabama ; study: Diploma&#44; na, institution: Pass Christian High School",Social Media ; Employee Engagement ; Management ; Public Speaking ; Customer Service ; Microsoft Word ; Sales ; Research ; Microsoft Excel ; Team Building ; Coaching ; Leadership ; E-Verify ; PowerPoint,"work: Regions Bank, position: Bank Teller, desc: I counted and balanced money, handled important documents, answered phones ,and provide excellent customer service. ; work: Alta Pointe&#44; Mobile, Alabama Area, position: Office Professional, desc: Attentively documenting and reporting important client information, handling sensitive information in an high volume department with limited time, using problem solving skills. ; work: The Grand Resort and Spa&#44; Point Clear, position: Human Resources Administrative Assistant, desc: Employee engagement, answer emails and telephones, keep up company paperwork and birthdays, access employee files and information.Organize Town Hall meetings along with other functions. File paperwork, access confidential filing. Knowledgeable of ADP systems, Tips, RVP, MVR and Ultipro systems. ; work: South Mississipoi Regional Housing Authority Section VIII, position: Assistant/ Secretary, desc: Email correspondence, Checked mail, answered calls, gave out property information and quotes, take notes during meetings, filed, edited and typed papers, ran errands,  and assisted with anything that I could help with."
9,,"study: Première année commune des études de santé&#44; Faculté de médecine, institution: Université Nice Sophia Antipolis ; study: Chef de projet en communication et Publicité , institution: ESP Ecole Supérieure de Publicité, Communication et Marketing ; study: Baccalauréat&#44; Scientifique, institution: Lycée Dumont d&#39;Urville ; study: Bachelor responsable de communication&#44; Responsable communication, institution: SUP&#39;DE COM ; study: BAFA, institution: Odel",Réseaux sociaux ; Marketing digital ; Management ; Écriture créative ; Anglais ; Stratégie marketing ; Gestion de projet ; Communication ; Développement commercial ; Vente ; MailChimp ; Mail Chimp ; Facebook ; Marketing Strategy ; Communication marketing ; Microsoft Office ; Stratégie créative,"work: Johnson &amp; Johnson&#44; Région de Paris, France, position: Responsable Pop Up Store, desc: Pop up Store pour la promotion de la marque &quot;le petit marseillais&quot; (experience client)

- revues d&#39;innovations 
- meeting commerciaux / chef de produits 
- management 4 personnes 
- suivi du CA 
- connaissance des produits LPM ; work: Monoprix&#44; Clichy, Île-de-France, France, position: Chef de projet marketing, desc:  ; work: Teeps&#44; Région de Paris, France, position: Chef de projet Social Média, desc: Teeps / Start up - Commerce collaboratif qui humanise la recommandation P2P
- Création de projets Social Media ( design, beauty, food…)
- Création de projets marketing direct avec les partenaires
- Animation pages Facebook/Instagram (350k/10 mois)
- Gestion planning éditorial, viralisation des pages (k/mois)
- Reporting, KPI ; work: TEENR&#44; Lyon, position: Community manager, desc: Rendre les jeunes entrepreneurs pour qu&#39;ils créent et vendent les produits de leurs envies.
--&gt; C&#39;est la promesse de TEENR :

RÉSULTAT/
Des jeunes valorisés et reconnus
Des produits correspondant à leurs attentes.

Missions chez TEENR: 

 - Rédaction de contenus
- Création logos, visuels
- Gérer les réseaux sociaux
- Mise en place stratégie de communication ; work: Calzedonia Group, position: Conseillère de vente lingerie, desc:  ; work: STRADA MARKETING&#44; Région de Lyon, France, position: Assistante Chef de Projet, desc:  ; work: TousVoisins.fr&#44; Paris, position: Responsable Commerciale / Assistante Chef de Projet, desc: Tournée nationale. 

Missions chez TOUS VOISINS: 

- Développer la communication à travers la france entière
- Démarcher tous les commerces de proximité. 
 ; work: YOUFACTORY, position: Chargée de communication, desc: - Mise en place de plusieurs actions de communication en interne et en externe pour aider l&#39;entreprise à se développer. 
- Animer et modérer les réseaux sociaux affiliés (Facebook, Twitter, Instagram)
- Création de contenus multimédias 
- Lancement de campagne print et web
- Communication Interne 
- Prospection commerciale 

 ; work: innocent drinks, position: Personal Branding, desc: "
