user_name_1,user_name_2
167,124
120,79
156,78
197,129
177,118
91,45
76,88
107,140
131,129
11,174
168,99
80,151
37,0
171,176
172,35
74,166
94,4
191,30
161,73
134,189
196,128
65,26
128,187
175,147
176,49
173,146
32,119
53,139
35,150
93,43
15,115
31,59
29,161
67,38
61,173
47,139
164,50
9,118
74,181
152,88
183,56
96,26
6,129
8,165
6,122
189,157
61,84
152,117
82,127
33,156
120,17
12,20
108,56
51,136
171,95
189,40
183,100
61,190
67,172
141,9
141,125
15,51
40,171
196,141
130,160
198,42
133,27
39,56
102,135
70,87
134,59
86,132
48,23
12,195
128,107
183,125
78,35
89,21
196,26
86,158
126,88
73,20
32,125
45,137
177,137
156,59
31,169
9,189
18,10
124,94
59,162
34,138
170,160
172,182
166,0
31,82
162,13
147,118
182,13
26,81
99,129
168,36
0,164
24,185
132,171
140,92
156,189
114,46
104,59
21,130
126,76
73,142
124,145
15,91
159,38
124,118
90,36
160,175
21,174
49,85
193,121
152,11
99,190
38,15
31,92
19,66
89,30
13,108
148,90
102,72
28,3
136,38
121,159
77,3
189,173
145,39
177,20
91,159
28,188
98,154
187,132
111,152
73,97
135,114
181,172
176,61
199,67
45,181
115,167
82,53
163,169
52,66
79,101
156,157
113,63
47,22
30,121
59,193
48,11
153,101
118,78
50,161
98,76
88,35
161,138
151,141
177,176
1,17
23,157
92,82
135,113
188,103
75,39
125,170
75,119
102,155
63,142
59,123
62,118
189,22
100,101
171,129
147,36
90,110
75,4
110,188
24,169
60,82
181,132
179,79
91,34
176,160
193,44
115,78
77,90
43,5
170,39
69,56
171,6
6,93
104,105
72,132
17,101
16,171
178,155
34,96
104,16
38,35
113,180
90,154
0,105
40,132
124,80
199,34
22,177
129,72
10,65
148,39
129,199
33,28
23,41
106,120
25,32
195,37
147,37
63,138
159,23
1,78
146,164
160,169
168,80
22,91
51,18
185,47
80,190
134,138
137,170
171,48
41,23
123,9
111,166
163,22
2,57
99,30
40,60
112,151
84,105
187,15
15,26
143,172
22,125
36,58
161,191
84,142
171,69
40,137
41,26
145,104
60,152
150,172
87,108
130,99
99,118
161,13
99,117
85,98
149,1
108,73
169,125
137,89
186,179
139,87
138,194
116,149
168,108
47,195
109,93
137,162
18,59
173,145
47,153
86,85
138,89
199,84
93,122
121,184
140,83
76,172
43,96
106,155
70,5
142,155
2,99
169,100
51,118
43,195
100,168
8,19
33,181
157,191
191,167
109,189
117,120
129,135
130,56
144,153
90,114
179,194
110,35
14,32
31,46
121,20
38,198
160,114
96,176
193,161
24,53
114,120
0,116
24,90
32,140
25,9
176,131
196,145
40,25
154,52
99,48
114,134
171,33
77,52
81,62
80,122
48,139
198,86
38,195
65,131
146,44
144,48
69,46
10,53
196,139
78,46
121,102
166,187
95,24
125,141
161,78
181,182
3,80
66,130
149,167
138,108
40,65
54,35
141,4
168,127
116,176
193,153
97,1
179,191
86,102
11,31
181,183
141,38
167,144
11,55
149,106
38,97
155,42
52,198
138,29
118,31
96,98
73,145
69,122
130,23
110,24
104,91
13,195
161,190
109,149
154,173
197,169
69,26
126,137
193,116
195,182
0,21
120,165
4,179
81,129
79,108
78,68
162,0
